card_id,related_ids_raw,related,name,cost,xp,effect,highlight_effect,set,card_location,image_url,highlight_color,primary_types,keywords,subtypes,symbols,image_variants
JOJ-021,JOJ-058,"{""JOJ-058""}",Forretress,5,1,"+2 Energy
Defense: You may discard this to avoid an Attack. If you do, draw two cards.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Forretress.webp,,Pokemon,Defense,Evolved,__none__,
JOJ-022,JOJ-073,"{""JOJ-073""}",Furret,5,1,"+1 Energy
Put an Item from your discard pile into your hand.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Furret.webp,,Pokemon,,Evolved,__none__,
JOJ-023,,{},Glacier Badge,10,6,,"When you gain this, put this under your Trainer.",[JOJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Glacier%20Badge.webp,,Challenge,,,__none__,
JOJ-024,,{},Heracross,6,2,"+2 Energy
Destroy a card in your hand or discard pile.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Heracross.webp,,Pokemon,,,__none__,
JOJ-025,,{},Hitmontop,5,1,"+2 Energy and choose an opponent.
Attack: That opponent discards a random card.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Hitmontop.webp,,Pokemon,Attack,,__none__,
JOJ-026,,{},Hive Badge,8,5,,"When you gain this, put this under your Trainer.",[JOJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Hive%20Badge.webp,blue,Challenge,,,__none__,
JOJ-027,,{},HM06 Whirlpool,3,1,"+2 Energy
If this is the first card you have played this turn, shuffle your hand and discard pile into your deck, then draw four cards.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/HM06%20Whirlpool.webp,,TM / HM,,,__none__,
JOJ-028,,{},HM07 Waterfall,3,1,"+2 Energy
Put each non-Pokemon card in the Route on the bottom of the Main Deck, then refill the Route.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/HM07%20Waterfall.webp,,TM / HM,,,__none__,
JOJ-029,,{},Ho-Oh,8,3,"+2 Energy
Put a Pokemon with cost 7 or less from your discard pile into your hand.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Ho-Oh.webp,,Pokemon,,Legendary,__none__,
JOJ-030,JOJ-054,"{""JOJ-054""}",Hoothoot,4,1,"+1 Energy
Look at the top two cards of your deck. You may discard any number of them, then put the rest back in any order.
Evolve 4: Put this under your Trainer. Gain Noctowl from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Hoothoot.webp,,Pokemon,Evolve,,__none__,
JOJ-031,"JOJ-076, JOJ-035, JOJ-060","{""JOJ-076"",""JOJ-035"",""JOJ-060""}",Hoppip,4,1,"Attack: Each opponent gains a Poison.
Evolve 4: Put this under your Trainer. Gain Skiploom from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Hoppip.webp,,Pokemon,Attack|Evolve,,__none__,
JOJ-032,JOJ-033,"{""JOJ-033""}",Houndoom,7,2,"+3 Energy and choose an opponent.
Attack: :That opponent reveals their hand, then puts a card with cost 2 or more under their Trainer.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Houndoom.webp,,Pokemon,Attack,Evolved,__none__,
JOJ-033,JOJ-032,"{""JOJ-032""}",Houndour,4,1,"+1 Energy
Evolve 6: Put this under your Trainer. Gain Houndoom from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Houndour.webp,,Pokemon,Evolve,,__none__,
JOJ-034,,{},Igglybuff,2,1,"Draw a card.
Ongoing: At the start of your turn, you may discard this from play. If you do, draw two cards, then discard two cards.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Igglybuff.webp,,Pokemon,Ongoing,,__none__,
JOJ-035,"JOJ-031, JOJ-076, JOJ-060","{""JOJ-031"",""JOJ-076"",""JOJ-060""}",Jumpluff,7,2,"+3 Energy
Attack: Each opponent discards a Pokemon and gains a Poison.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Jumpluff.webp,,Pokemon,Attack,Evolved,__none__,
JOJ-036,,{},Kurt,,,"During each of your turns, Items in the Route cost one less to buy or gain.",,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Kurt.webp,,Trainer,,,__none__,
JOJ-037,JOJ-007,"{""JOJ-007""}",Lanturn,6,2,"+2 Energy
You may put a card from your discard pile on top of your deck.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Lanturn.webp,,Pokemon,,Evolved,__none__,
JOJ-038,"JOJ-066, JOJ-101","{""JOJ-066"",""JOJ-101""}",Larvitar,4,1,"+1 Energy
Evolve 4: Put this under your Trainer. Gain Pupitar from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Larvitar.webp,,Pokemon,Evolve,,__none__,
JOJ-039,,{},Level Ball,4,1,Gain a Pokemon with cost 5 or less that is in the Route.,,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Level%20Ball.webp,,Item,,,__none__,
JOJ-040,,{},Lickitung!,,,Encounter Attack: Discard a card.,"This can't be bought or gained. At the end of the turn, destroy this.",[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Lickitung.webp,yellow,Encounter,Encounter Attack,,Team Rocket,
JOJ-041,,{},Lugia,8,3,"+3 Energy
Attack: Each opponent discards two random cards.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Lugia.webp,,Pokemon,Attack,Legendary,__none__,
JOJ-042,,{},Magby,2,1,"Draw a card.
Ongoing: At the start of your turn, you may discard this from play. If you do, destroy a card in your discard pile.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Magby.webp,,Pokemon,Ongoing,,__none__,
JOJ-043,JOJ-077,"{""JOJ-077""}",Magcargo,5,1,"+2 Energy
You may destroy a card in your hand. If you do, gain +1 Energy.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Magcargo.webp,,Pokemon,,Evolved,__none__,
JOJ-044,"JOJ-001, JOJ-018","{""JOJ-001"",""JOJ-018""}",Mareep,4,1,"+1 Energy
Evolve 4: Put this under your Trainer. Gain Flaaffy from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Mareep.webp,,Pokemon,Evolve,,__none__,
JOJ-045,"JOJ-006, JOJ-003","{""JOJ-006"",""JOJ-003""}",Meganium,7,2,"+4 Energy
Draw a card.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Meganium.webp,,Pokemon,,Evolved,__none__,
JOJ-046,,{},Mineral Badge,10,6,,"When you gain this, put this under your Trainer.",[JOJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Mineral%20Badge.webp,blue,Challenge,,,__none__,
JOJ-047,,{},Misdreavus,5,1,"+1 Energy
Each opponent discards the top two cards of their deck. Gain an additional +1 Energy for each player that has a TM / HM in their discard pile.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Misdreavus.webp,,Pokemon,,,__none__,
JOJ-048,,{},Misty,,,"Once during each of your turns, you may discard two cards. If you do, each opponent discards a card.",,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Misty.webp,,Trainer,,,__none__,
JOJ-049,,{},Moomoo Milk,4,1,"+1 Energy
Draw a card.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Moomoo%20Milk.webp,,Item,,,__none__,
JOJ-050,,{},Mr. Pokemon,,,"Once during each of your turns, you may discard a card. If you do, the next Pokemon you buy, gain, or Evolve this turn costs one less.",,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Mr%20Pokemon.webp,,Trainer,,,__none__,
JOJ-051,,{},Murkrow,4,1,Choose a TM / HM in any player's discard pile. Copy the effects of that TM / HM until the end of the turn.,,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Murkrow.webp,,Pokemon,,,__none__,
JOJ-052,,{},Mystery Egg!,,,Encounter Attack: Gain +1 Energy.,"This can't be bought or gained. At the end of the turn, destroy this.",[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Mystery%20Egg.webp,yellow,Encounter,Encounter Attack,,__none__,
JOJ-053,JOJ-109,"{""JOJ-109""}",Natu,3,1,"+1 Energy
Evolve 4: Put this under your Trainer. Gain Xatu from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Natu.webp,,Pokemon,Evolve,,__none__,
JOJ-054,JOJ-030,"{""JOJ-030""}",Noctowl,5,1,"+2 Energy
Look at the top four cards of your deck. You may discard any number of them, then put the rest back in any order.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Noctowl.webp,,Pokemon,,Evolved,__none__,
JOJ-055,JOJ-012,"{""JOJ-012""}",Phanpy,4,1,"Defense: You may draw a card then put this on top of your deck to avoid an Attack.
Evolve 5: Put this under your Trainer. Gain Donphan from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Phanpy.webp,,Pokemon,Defense|Evolve,,__none__,
JOJ-056,,{},Pichu,2,1,"Draw a card.
Ongoing: At the start of your turn, you may discard this from play. If you do, gain +1 Energy.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Pichu.webp,,Pokemon,Ongoing,,__none__,
JOJ-057,JOJ-085,"{""JOJ-085""}",Piloswine,5,1,"+2 Energy
Defense: You may put this in front of your Trainer to avoid an Attack. If you do, play this at the start of your turn.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Piloswine.webp,,Pokemon,Defense,Evolved,__none__,
JOJ-058,JOJ-021,"{""JOJ-021""}",Pineco,4,1,"+1 Energy
Defense: You may discard this to avoid an Attack. If you do, draw a card.
Evolve 4: Put this under your Trainer. Gain Forretress from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Pineco.webp,,Pokemon,Defense|Evolve,,__none__,
JOJ-059,,{},Plain Badge,8,5,,"When you gain this, put this under your Trainer.",[JOJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Plain%20Badge.webp,,Challenge,,,__none__,
JOJ-060,"JOJ-031, JOJ-035, JOJ-064, JOJ-068, JOJ-076, JOJ-083, JOJ-094","{""JOJ-031"",""JOJ-035"",""JOJ-064"",""JOJ-068"",""JOJ-076"",""JOJ-083"",""JOJ-094""}",Poison,,-1,,,[JOJ],Poison/Status Condition Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Poison.webp,,,,,__none__,
JOJ-061,,{},Pokegear,3,1,"Choose one of the following:
 • The next Pokemon you buy or gain this turn costs two less.
 • Put all cards from the Route on the bottom of the Main Deck, then refill the Route.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Pokegear.webp,,Item,,,__none__,
JOJ-062,,{},Pokemon Day Care,,,"Once during each of your turns, if there is a Pokemon under this, put a counter on it. Otherwise, you may put an Evolve card from your hand under this.
You may Evolve a Pokemon under this by paying its Evolve cost minus the number of counters on it.",This is not affected by any effects that do not mention it specifically.,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Pokemon%20Day%20Care.webp,,,,,__none__,
JOJ-063,,{},Potion,3,1,+2 Energy,,[JOJ],Potion Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Potion.webp,,Item,,,__none__,
JOJ-064,"JOJ-060, JOJ-063","{""JOJ-060"",""JOJ-063""}",Present!,,,"Encounter Attack: Shuffle together one Poison and one Potion from their respective stacks, then gain one at random. Return the other to its stack.","This can't be bought or gained. At the end of the turn, destroy this.",[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Present.webp,yellow,Encounter,Encounter Attack,,__none__,
JOJ-065,,{},Professor Elm,,,"Once during each of your turns, you may discard two cards. If you do, draw a card.",,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Professor%20Elm.webp,,Trainer,,,__none__,
JOJ-066,"JOJ-038, JOJ-101","{""JOJ-038"",""JOJ-101""}",Pupitar,5,1,"+2 Energy
Defense: You may discard this to avoid an Attack. If you do, draw a card.
Evolve 8: Put this under your Trainer. Gain Tyranitar from the Evolution Stack.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Pupitar.webp,,Pokemon,Defense|Evolve,Evolved,__none__,
JOJ-067,"JOJ-011, JOJ-100","{""JOJ-011"",""JOJ-100""}",Quilava,5,1,"+1 Energy
You may destroy a card in your hand or discard pile.
Evolve 6: Put this under your Trainer. Gain Typhlosion from the Evolution Stack.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Quilava.webp,,Pokemon,Evolve,Evolved,__none__,
JOJ-068,JOJ-060,"{""JOJ-060""}",Qwilfish,4,1,"+2 Energy and choose an opponent.
Attack: That opponent gains a Poison.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Qwilfish.webp,,Pokemon,Attack,,__none__,
JOJ-069,,{},Raikou,7,2,"+3 Energy and choose an opponent.
Attack: That opponent discards a card, then puts three cards with cost 0 from their discard pile on top of their deck.","At the end of the turn, if this is in the Route, shuffle it into the Main Deck.",[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Raikou.webp,yellow,Pokemon,Attack,Legendary,__none__,
JOJ-070,,{},Red Gyarados Attacks!,,,Encounter Attack: Destroy a card in your hand.,"This can't be bought or gained. At the end of the turn, destroy this.",[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Red%20Gyarados%20Attacks.webp,yellow,Encounter,Encounter Attack,,__none__,
JOJ-071,,{},Rising Badge,12,7,,"When you gain this, put this under your Trainer.",[JOJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Rising%20Badge.webp,blue,Challenge,,,__none__,
JOJ-072,,{},Ritchie,,,"You go first. When an opponent gains a Challenge card, you may draw a card.",,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Ritchie.webp,,Trainer,,,__none__,
JOJ-073,JOJ-022,"{""JOJ-022""}",Sentret,3,1,"Put an Item with cost 4 or less from your discard pile into your hand.
Evolve 3: Put this under your Trainer. Gain Furret from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Sentret.webp,,Pokemon,Evolve,,__none__,
JOJ-074,,{},Shuckle,5,1,"+1 Energy
Defense: You may put this from your discard pile on the bottom of your deck to avoid an Attack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Shuckle.webp,,Pokemon,Defense,,__none__,
JOJ-075,,{},Skarmory,6,2,"+2 Energy
Defense: You may reveal this to avoid an Attack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Skarmory.webp,,Pokemon,Defense,,__none__,
JOJ-076,"JOJ-031, JOJ-035, JOJ-060","{""JOJ-031"",""JOJ-035"",""JOJ-060""}",Skiploom,5,1,"+1 Energy
Attack: Each opponent discards a Pokemon.
Evolve 6: Put this under your Trainer. Gain Jumpluff from the Evolution Stack.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Skiploom.webp,,Pokemon,Attack|Evolve,Evolved,__none__,
JOJ-077,JOJ-043,"{""JOJ-043""}",Slugma,3,1,"+1 Energy
Evolve 5: Put this under your Trainer. Gain Magcargo from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Slugma.webp,,Pokemon,Evolve,,__none__,
JOJ-078,,{},Smeargle,5,1,Choose a Pokemon with cost 7 or less in any other player's discard pile. Copy the effects of that Pokemon until the end of your turn. This can't Evolve.,,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Smeargle.webp,,Pokemon,,,__none__,
JOJ-079,,{},Smoochum,2,1,"Draw a card.
Ongoing: At the start of your turn, you may discard this from play. If you do, Attack: Each opponent discards a random card.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Smoochum.webp,,Pokemon,Ongoing|Attack,,__none__,
JOJ-080,,{},Sneasel,5,1,"Gain +1 Energy for each opponent that has a Pokemon in their discard pile.
Gain +1 Energy for each opponent that has a Pokemon in play.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Sneasel.webp,,Pokemon,,,__none__,
JOJ-081,,{},Storm Badge,9,5,,"When you gain this, put this under your Trainer.",[JOJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Storm%20Badge.webp,blue,Challenge,,,__none__,
JOJ-082,,{},Sudowoodo,6,2,+4 Energy,,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Sudowoodo.webp,,Pokemon,,,__none__,
JOJ-083,JOJ-060,"{""JOJ-060""}",Suicune,7,2,"+3 Energy
You may search your hand, deck, and discard pile for up to three Poison and destroy them.","At the end of the turn, if this is in the Route, shuffle it into the Main Deck.",[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Suicune.webp,yellow,Pokemon,,Legendary,__none__,
JOJ-084,,{},Super Potion,5,1,+3 Energy,,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Super%20Potion.webp,,Item,,,__none__,
JOJ-085,JOJ-057,"{""JOJ-057""}",Swinub,4,1,"+1 Energy
Defense: You may put this in front of your Trainer to avoid an Attack. If you do, play this at the start of your turn.
Evolve 4: Put this under your Trainer. Gain Piloswine from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Swinub.webp,,Pokemon,Defense|Evolve,,__none__,
JOJ-086,,{},Tackle,,0,+1 Energy,,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Tackle.webp,,Starter,,,__none__,
JOJ-087,JOJ-103,"{""JOJ-103""}",Teddiursa,4,1,"+2 Energy
Evolve 6: Put this under your Trainer. Gain Ursaring from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Teddiursa.webp,,Pokemon,Evolve,,__none__,
JOJ-088,,{},TM07 Zap Cannon,4,1,"+2 Energy and choose an opponent.
Attack: That opponent discards all cards in front of their Trainer.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/TM07%20Zap%20Cannon.webp,,TM / HM,Attack,,__none__,
JOJ-089,,{},TM10 Hidden Power,4,1,"+1 Energy
Reveal the top card of the Main Deck. Gain an additional +Energy equal to the XP of the card revealed this way (* counts as 3; Encounter cards count as 2).",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/TM10%20Hidden%20Power.webp,,TM / HM,,,__none__,
JOJ-090,,{},TM19 Giga Drain,7,2,"+2 Energy and choose an opponent.
Attack: That opponent discards two cards. If they do, draw a card for each card they discarded this way.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/TM19%20Giga%20Drain.webp,,TM / HM,Attack,,__none__,
