card_id,related_ids_raw,related,name,cost,xp,effect,highlight_effect,set,card_location,image_url,highlight_color,primary_types,keywords,subtypes,symbols,image_variants
GLJ-013,,{},Challenger - Red,14,10,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Red.webp,blue,Challenge,,,__none__,
GLJ-014,"GLJ-015, GLJ-021","{""GLJ-015"",""GLJ-021""}",Chuck,,,You start the game with Chuck's Primeape in your deck.,,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Chuck.webp,,Trainer,,,__none__,
GLJ-015,"GLJ-014, GLJ-021","{""GLJ-014"",""GLJ-021""}",Chuck's Primeape,3,0,"+1 Energy
You may discard up to two card. For each card discarded this way, gain +1 Energy.
Learn 6: Gain Focus Punch and put it in front of your Trainer.",,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Chuck's%20Primeape.webp,,Starter|Pokemon,Learn,,__none__,
GLJ-016,"GLJ-017, GLJ-031","{""GLJ-017"",""GLJ-031""}",Clair,,,You start the game with Clair's Kingdra in your deck.,,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Clair.webp,,Trainer,,,__none__,
GLJ-017,"GLJ-016, GLJ-031","{""GLJ-016"",""GLJ-031""}",Clair's Kingdra,3,0,"+2 Energy
Learn 6: Gain Twister and put it in front of your Trainer.",,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Clair's%20Kingdra.webp,,Starter|Pokemon,Learn,,__none__,
GLJ-018,"GLJ-022, GLJ-023","{""GLJ-022"",""GLJ-023""}",Crunch,,,"When you play Jasmine's Steelix, gain +1 Energy and choose an opponent. That opponent discards a Defense card in their hand and a Defense card they control in play.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Crunch.webp,,Move,,Unique,__none__,
GLJ-019,"GLJ-020, GLJ-032","{""GLJ-020"",""GLJ-032""}",Falkner,,,You start the game with Falkner's Pidgeot in your deck.,,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Falkner.webp,,Trainer,,,__none__,
GLJ-020,"GLJ-019, GLJ-032","{""GLJ-019"",""GLJ-032""}",Falkner's Pidgeot,3,0,"+1 Energy
Draw a card.
Learn 5: Gain Whirlwind and put it in front of your Trainer.",,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Falkner's%20Pidgeot.webp,,Starter|Pokemon,Learn,,__none__,
GLJ-021,"GLJ-014, GLJ-015","{""GLJ-014"",""GLJ-015""}",Focus Punch,,,"When you play Chuck's Primeape, put it in front of your Trainer. If Chuck's Primeape is in play at the start of your turn, discard it and gain +2 Energy.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Focus%20Punch.webp,,Move,,Unique,__none__,
GLJ-022,"GLJ-023, GLJ-018","{""GLJ-023"",""GLJ-018""}",Jasmine,,,You start the game with Jasmine's Steelix in your deck.,,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Jasmine.webp,,Trainer,,,__none__,
GLJ-023,"GLJ-018, GLJ-022","{""GLJ-018"",""GLJ-022""}",Jasmine's Steelix,3,0,"+2 Energy
Defense: You may discard this to avoid an Attack. If you do, draw two cards.
Learn 6: Gain Crunch and put it in front of your Trainer.",,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Jasmine's%20Steelix.webp,,Starter|Pokemon,Defense|Learn,,__none__,
GLJ-024,"GLJ-002, GLJ-003","{""GLJ-002"",""GLJ-003""}",Metal Claw,,,"When you play Bugsy's Scizor, look at the top three cards of your deck. You may destroy one, then put the rest back in any order.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Metal%20Claw.webp,,Move,,Unique,__none__,
GLJ-025,"GLJ-033, GLJ-034","{""GLJ-033"",""GLJ-034""}",Milk Drink,,,"When you play Whitney's Miltank, if it is the first card you have played this turn, draw until you have four cards in your hand.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Milk%20Drink.webp,,Move,,Unique,__none__,
GLJ-026,"GLJ-027, GLJ-028","{""GLJ-027"",""GLJ-028""}",Morty,,,You start the game with Morty's Gengar in your deck.,,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Morty.webp,,Trainer,,,__none__,
GLJ-027,"GLJ-026, GLJ-028","{""GLJ-026"",""GLJ-028""}",Morty's Gengar,,,"+2 Energy and choose an opponent.
Attack: That opponent discards a card.
Learn 6: Gain Night Shade and put it in front of your Trainer.",,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Morty's%20Gengar.webp,,Starter|Pokemon,Attack|Learn,,__none__,
GLJ-028,"GLJ-026, GLJ-027","{""GLJ-026"",""GLJ-027""}",Night Shade,,,"When you play Morty's Gengar, choose an opponent. That opponent discards a card for each Challenge under their Trainer, up to three.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Night%20Shade.webp,,Move,,Unique,__none__,
GLJ-029,"GLJ-030, GLJ-001","{""GLJ-030"",""GLJ-001""}",Pryce,,,You strt the game with Pryce's Dewgong in your deck.,,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Pryce.webp,,Trainer,,,__none__,
GLJ-030,"GLJ-029, GLJ-001","{""GLJ-029"",""GLJ-001""}",Pryce's Dewgong,3,0,"+1 Energy
Each opponent puts a card from their hand on top of their deck.
Learn 5: Gain Aurora Beam and put it in front of your Trainer.",,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Pryce's%20Dewgong.webp,,Starter|Pokemon,Learn,,__none__,
GLJ-031,"GLJ-016, GLJ-017","{""GLJ-016"",""GLJ-017""}",Twister,,,"When you play Clair's Kingdra, gain +1 Energy and choose an opponent. Attack: That opponent discards a Pokemon in their hand and all Pokemon they control in play.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Twister.webp,,Move,Attack,Unique,__none__,
GLJ-032,"GLJ-019, GLJ-020","{""GLJ-019"",""GLJ-020""}",Whirlwind,,,"When you play Falkner's Pidgeot, gain +1 Energy, put all cards from the Route on the bottom of the Main Deck, then refill the Route.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Whirlwind.webp,,Move,,Unique,__none__,
GLJ-033,"GLJ-034, GLJ-025","{""GLJ-034"",""GLJ-025""}",Whitney,,,You start the game with Whitney's Miltank in your deck.,,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Whitney.webp,,Trainer,,,__none__,
GLJ-034,"GLJ-033, GLJ-025","{""GLJ-033"",""GLJ-025""}",Whitney's Miltank,3,0,"+2 Energy
Defense: You may draw a card, then put this from your hand on top of your deck to avoid an Attack.
Learn 6: Gain Milk Drink and put it in front of your Trainer.",,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Whitney's%20Miltank.webp,,Starter|Pokemon,Defense|Learn,,__none__,
