card_id,related_ids_raw,related,name,image_url,cost,xp,effect,highlight_effect,set,card_location,highlight_color,primary_types,keywords,subtypes,symbols,image_variants
THC-056,,{},May,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/May.webp,,,"While you control at least four different cards types in play, all cards in the Route cost you two less to buy or gain.",,[THC],Setup,,Trainer,,,__none__,
THC-057,THC-058,"{""THC-058""}",Medicham,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Medicham.webp,6,2,"Look at the top five cards of your deck. You may discard any number of them, then put the rest back in any order.",,[THC],Evolution Stack,,Pokemon,,Evolved,Mega Symbol,
THC-058,THC-057,"{""THC-057""}",Meditite,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Meditite.webp,4,1,"Look at the top three cards of your deck. You may discard any number of them, then put the rest back in any order.
Evolve 4: Put this under your Trainer. Gain Medicham from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Evolve,,__none__,
THC-059,"THC-008, THC-060","{""THC-008"",""THC-060""}",Metagross,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Metagross.webp,7,2,"Gain an Item in the Route, then put an Item from your discard pile into your hand.
Search your deck for an Item and put it into your hand.",,[THC],Evolution Stack,,Pokemon,,Evolved,Mega Symbol,
THC-060,"THC-008, THC-059","{""THC-008"",""THC-059""}",Metang,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Metang.webp,5,1,"Search your deck for an Item and put it into your hand.
Evolve 6: Put this under your Trainer. Gain Metagross from the Evolution Stack.",,[THC],Evolution Stack,,Pokemon,,Evolved,__none__,
THC-061,,{},Mind Badge,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Mind%20Badge.webp,10,6,,"When you gain this, put this under your Trainer.",[THC],Challenge Stack,blue,Challenge,,,__none__,
THC-062,THC-067,"{""THC-067""}",Minun,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Minun.webp,4,1,"Draw a card and choose an opponent.
Attack: That opponent discards a card.
Put a Plusle from your discard pile into your hand.",,[THC],Main Deck,,Pokemon,,,__none__,
THC-063,"THC-053, THC-096","{""THC-053"",""THC-096""}",Mudkip,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Mudkip.webp,3,1,"+1 Energy
Evolve 4: Put this under your Trainer. Gain Marshtomp from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Evolve,,__none__,
THC-064,"THC-065, THC-087","{""THC-065"",""THC-087""}",Nincada,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Nincada.webp,4,1,"+1 Energy
Evolve 5: Put this under your Trainer. Gain Ninjask and Shedinja from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Evolve,,__none__,
THC-065,"THC-064, THC-087","{""THC-064"",""THC-087""}",Ninjask,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Ninjask.webp,4,1,"+2 Energy
You may put a Shedinja from your discard pile on top of your deck.",,[THC],Evolution Stack,,Pokemon,,Evolved,__none__,
THC-066,"THC-010, THC-015, THC-024, THC-049, THC-052, THC-079, THC-102","{""THC-010"",""THC-015"",""THC-024"",""THC-049"",""THC-052"",""THC-079"",""THC-102""}",Paralyze,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Paralyze-Status.webp,,-1,"Ongoing: When another Status Condition enters play under your control, destroy this. At the end of your turn, put a Starter with cost 0 from your discard pile on top of your deck, then discard this.",,[THC],Poison/Status Condition Stack,,Status Condition,Ongoing,,__none__,
THC-067,THC-062,"{""THC-062""}",Plusle,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Plusle.webp,4,1,"+1 Energy
Draw a card.
Put a Minun from your discard pile into your hand.",,[THC],Main Deck,,Pokemon,,,__none__,
THC-068,,{},Potion,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Potion.webp,3,1,+2 Energy,,[THC],Potion Stack,,Item,,,__none__,
THC-069,,{},Premier Ball,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Premier%20Ball.webp,5,1,The next Pokemon you buy or gain this turn costs four less.,,[THC],Main Deck,,Item,,,__none__,
THC-070,,{},Professor Birch,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Professor%20Birch.webp,,,"When any player Evolves a Pokemon, you may discard a card. If you do, draw a card.",,[THC],Setup,,Trainer,,,__none__,
THC-071,,{},Rain Badge,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Rain%20Badge.webp,12,7,,"When you gain this, put this under your Trainer.",[THC],Challenge Stack,blue,Challenge,,,__none__,
THC-072,"THC-040, THC-030","{""THC-040"",""THC-030""}",Ralts,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Ralts.webp,4,1,"Draw a card.
Defense: You may shuffle this from your hand into your deck to avoid an Attack.
Evolve 4: Put this under your Trainer. Gain Kirlia from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Defense|Evolve,,__none__,
THC-073,THC-013,"{""THC-013""}",Rawst Berry,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Rawst%20Berry.webp,4,1,"+2 Energy
Destroy a Burn you control in play or in your discard pile.",,[THC],Main Deck,,Item,,,__none__,
THC-074,,{},Rayquaza,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Rayquaza.webp,8,3,"+5 Energy
Challenges cost you one less to buy this turn.",,[THC],Main Deck,,Pokemon,,Legendary,Mega Symbol,
THC-075,THC-029,"{""THC-029""}",Regice,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Regice.webp,6,2,"+2 Energy
Defense: You may discard this to avoid an Attack. If you do, draw a card, then the opponent who controls the source of that Attack gains a Freeze.",,[THC],Main Deck,,Pokemon,Defense,Legendary,__none__,
THC-076,,{},Regirock,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Regirock.webp,6,2,"+2 Energy
Defense: You may discard this to avoid an Attack. If you do, draw a card, then you may destroy a card in your hand or discard pile.",,[THC],Main Deck,,Pokemon,Defense,Legendary,__none__,
THC-077,,{},Registeel,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Registeel.webp,6,2,"+2 Energy
Defense: You may reveal this to avoid an Attack.",,[THC],Main Deck,,Pokemon,Defense,Legendary,__none__,
THC-078,,{},Roar!,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Roar.webp,,,Encounter Attack: Discard a card. Shuffle your deck.,"This can't be bought or gained. At the end of the turn, destroy this.",[THC],Main Deck,yellow,Encounter,Encounter Attack,,Team Magma,
THC-079,"THC-013, THC-029, THC-066","{""THC-013"",""THC-029"",""THC-066""}",Roselia,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Roselia.webp,5,1,"+2 Energy
You may destroy a Burn, Freeze, or Paralyze you control in play or in your discard pile.",,[THC],Main Deck,,Pokemon,,,__none__,
THC-080,,{},Sableye,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Sableye.webp,5,1,"+2 Energy
The next Attack you play this turn can't be avoided.",,[THC],Main Deck,,Pokemon,,,Mega Symbol,
THC-081,,{},Sacred Ash,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Sacred%20Ash.webp,5,1,"+2 Energy
Put a Pokemon with cost 6 or less from your discard pile on top of your deck.",,[THC],Main Deck,,Item,,,__none__,
THC-082,"THC-006, THC-088","{""THC-006"",""THC-088""}",Salamence,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Salamence.webp,8,3,"+3 Energy
Put all cards in the Route on the bottom of the Main Deck, then refill the Route. Gain +1 Energy for each Pokemon in the Route.",,[THC],Evolution Stack,,Pokemon,,Evolved,Mega Symbol,
THC-083,"THC-111, THC-033","{""THC-111"",""THC-033""}",Sceptile,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Sceptile.webp,7,2,"+2 Energy
Draw a card.
Put this in front of your Trainer. At the start of your turn, discard this from play and gain +3 Energy.",,[THC],Evolution Stack,,Pokemon,,Evolved,Mega Symbol,
THC-084,,{},Scott,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Scott.webp,,,"You go first. When any player gains a Challenge, you may draw a card.",,[THC],Setup,,Trainer,,,__none__,
THC-085,,{},Seviper,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Seviper.webp,5,1,+2 Energy,"When you gain this, each opponent reveals their hand and discards a Pokemon.",[THC],Main Deck,blue,Pokemon,,,__none__,
THC-086,THC-029,"{""THC-029""}",Sharpedo!,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Sharpedo.webp,,,Encounter Attack: Gain a Freeze.,"This can't be bought or gained. At the end of the turn, destroy this.",[THC],Main Deck,yellow,Encounter,Encounter Attack,,Team Aqua,
THC-087,"THC-064, THC-065","{""THC-064"",""THC-065""}",Shedinja,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Shedinja.webp,3,1,"Draw a card.
Defense: You may discard this to avoid an Attack. If you do, draw a card.",,[THC],Evolution Stack,,Pokemon,Defense,Evolved,__none__,
THC-088,"THC-006, THC-082","{""THC-006"",""THC-082""}",Shelgon,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Shelgon.webp,5,1,"Discard a card. If you do, gain +3 Energy.
Defense: You may discard this to avoid an Attack. If you do, draw a card.
Evolve 7: Put this under your Trainer. Gain Salamence from the Evolution Stack.",,[THC],Evolution Stack,,Pokemon,Defense|Evolve,Evolved,__none__,
THC-089,THC-019,"{""THC-019""}",Skitty,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Skitty.webp,4,1,"Defense: You may discard this to avoid an Attack. If you do, draw a card.
Evolve 4: Put this under your Trainer. Gain Delcatty from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Defense|Evolve,,__none__,
THC-090,"THC-031, THC-029","{""THC-031"",""THC-029""}",Snorunt,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Snorunt.webp,4,1,"+1 Energy and choose an opponent.
Attack: That opponent gains a Freeze.
Evolve 5: Put this under your Trainer. Gain Glalie from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Attack|Evolve,,__none__,
THC-091,,{},Solana,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Solana.webp,,,"At the start of each of your turns, you may discard two cards. If you do, put a Pokemon with cost 4 or less from your discard pile into your hand.",,[THC],Setup,,Trainer,,,__none__,
THC-092,,{},Solrock,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Solrock.webp,4,2,"+1 Energy
Defense: You may put this under your Trainer to avoid an Attack. If you do, draw two cards.",,[THC],Main Deck,,Pokemon,Defense,,__none__,
THC-093,,{},Stone Badge,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Stone%20Badge.webp,7,4,,"When you gain this, put this under your Trainer.",[THC],Challenge Stack,blue,Challenge,,,__none__,
