card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants
MEV-011,THC-054,"{""THC-054""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Mawile.webp,Mega Mawile,7,2,"+3 Energy and choose an opponent.
Attack: That opponent reveals their hand and discards all Attack cards.
Defense: You may discard this to avoid an Attack. If you do, the opponent who controls the source of that Attack reveals their hand and discards all Attack cards.",,,Evolution Stack,Pokemon,Attack|Defense,Mega,__none__,[MEV],
MEV-012,"THC-058, THC-057","{""THC-058"",""THC-057""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Medicham.webp,Mega Medicham,7,2,"Draw two cards, then shuffle your discard pile into your deck. Look at the top five cards of your deck, discard any number of them, then put the rest back in any order.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-013,"THC-059, THC-008, THC-060","{""THC-059"",""THC-008"",""THC-060""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Metagross.webp,Mega Metagross,8,3,"+2 Energy
Gain all Items in the Route, then put an Item from your discard pile into your hand.
Search your deck for an Item and put it into your hand.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-014,THC-074,"{""THC-074""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Rayquaza.webp,Mega Rayquaza,8,3,"+6 Energy
You may destroy a Status Condition you control in play or in your discard pile.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-015,THC-080,"{""THC-080""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Sableye.webp,Mega Sableye,7,2,"+3 Energy
All Attack cards you play this turn can't be avoided. All Attack cards you play this turn that choose an opponent affect all opponents instead.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-016,"THC-082, THC-006, THC-088","{""THC-082"",""THC-006"",""THC-088""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Salamence.webp,Mega Salamence,8,4,"+3 Energy
Put all cards in the Route on the bottom of the Main Deck, then refill the Route. Gain +1 Energy for each Pokemon and TM / HM in the Route.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-017,"THC-083, THC-111, THC-083","{""THC-083"",""THC-111"",""THC-083""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Sceptile.webp,Mega Sceptile,8,3,"+3 Energy
Draw two cards.
Put this in front of your Trainer. At the start of your turn, discard this from play and gain +3 Energy.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-018,"THC-096, THC-063, THC-053","{""THC-096"",""THC-063"",""THC-053""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Swampert.webp,Mega Swampert,8,3,"+4 Energy
Attack: Each opponent discards two random cards.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-019,"THC-032, MEV-021","{""THC-032"",""MEV-021""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Primal%20Groudon.webp,Primal Groudon,9,3,"+5 Energy
You may destroy up to two cards in your hand and/or discard pile.",,,Evolution Stack,Pokemon,,Legendary|Primal,__none__,[MEV],
MEV-020,"THC-043, MEV-001","{""THC-043"",""MEV-001""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Primal%20Kyogre.webp,Primal Kyogre,9,3,"+5 Energy
Attack: Each opponent discards a card.
Attack: Each opponent discards a random card.",,,Evolution Stack,Pokemon,,Legendary|Primal,__none__,[MEV],
MEV-021,MEV-019,"{""MEV-019""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Red%20Orb.webp,Red Orb,4,0,"Ongoing: While Groudon is in your hand, you may put this and Groudon under your Trainer. If you do, gain Primal Groudon and put it into your hand.","When you gain this, put this into play.",blue,Main Deck,Item,Ongoing,,__none__,[MEV],
