card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants,rules,wcs_tier
S&M-011,"S&M-008, S&M-081","{""S&M-008"",""S&M-081""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Muk.webp,Alolan Muk,7,2,"+2 Energy
Attack: Each opponent discards all Starters.
Attack: Each opponent gains a Poison.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[S&M],,,
S&M-012,S&M-019,"{""S&M-019""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Ninetales.webp,Alolan Ninetales,6,2,"+3 Energy
Ongoing: At the end of each opponent's turn, that opponent puts a card with cost 0 they control in play or in their discard pile on top of their deck.",,,Evolution Stack,Pokemon,Ongoing,Evolved,__none__,[S&M],,,
S&M-013,S&M-010,"{""S&M-010""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Persian.webp,Alolan Persian,6,2,"+3 Energy and choose an opponent.
Attack: That opponent discards an Item, then you may copy the effects of that Item until the end of your turn.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[S&M],,,
S&M-014,S&M-079,"{""S&M-079""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Raichu.webp,Alolan Raichu,6,2,"+2 Energy and draw a card.
Z-Move: Choose a player. You may switch that player's discard pile with their deck.",,,Evolution Stack,Pokemon,Z-Move,Evolved,__none__,[S&M],,,
S&M-015,S&M-016,"{""S&M-016""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Raticate.webp,Alolan Raticate,6,2,"Draw two cards and choose an opponent.
Attack: That opponent discards a card.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[S&M],,,
S&M-016,S&M-015,"{""S&M-015""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Rattata.webp,Alolan Rattata,3,1,"Draw a card.
Evolve 5: Put this under your Trainer. Gain Alolan Raticate from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-017,S&M-018,"{""S&M-018""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Sandshrew.webp,Alolan Sandshrew,4,1,"+1 Energy
Evolve 5: Put this under your Trainer. Gain Alolan Sandslash from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-018,S&M-017,"{""S&M-017""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Sandslash.webp,Alolan Sandslash,6,2,"+3 Energy and choose an opponent.
Attack: That opponent puts two cards from their hand on top of their deck.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[S&M],,,
S&M-019,S&M-012,"{""S&M-012""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Vulpix.webp,Alolan Vulpix,4,1,"Search your deck for a Pokemon with cost 5 or less and put it into your hand, then shuffle your deck.
Evolve 5: Put this under your Trainer. Gain Alolan Ninetales from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-020,S&M-095,"{""S&M-095""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Ash.webp,Ash,,,You start the game with Rotom Pokedex in your deck.,,,Setup,Trainer,,,__none__,[S&M],,,5
S&M-021,S&M-105,"{""S&M-105""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Bewear.webp,Bewear,6,2,"+2 Energy
If you have less than six Thrash Counters, gain a Thrash Counter. Gain an additional +1 Energy for each Thrash Counter you have.",,,Evolution Stack,Pokemon,,Evolved,__none__,[S&M],,,
S&M-022,S&M-081,"{""S&M-081""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Big%20Malasada.webp,Big Malasada,4,1,"+2 Energy
You may destroy a Poison in your hand or discard pile.",,,Main Deck,Item,,,__none__,[S&M],,,
S&M-023,"S&M-082, S&M-090","{""S&M-082"",""S&M-090""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Brionne.webp,Brionne,5,1,"+2 Energy and choose an opponent.
Attack: That opponent reveals their hand, then discards an Attack card.
Evolve 6: Put this under your Trainer. Gain Primarina from the Evolution Stack.",,,Evolution Stack,Pokemon,Attack|Evolve,Evolved,__none__,[S&M],,,
S&M-024,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Charizard%20Glide.webp,Charizard Glide,4,2,"Draw a card.
Ongoing: Once during each of your turns, you may put up to two cards from the Route on the bottom of the Main Deck. If you do, refill the Route.",,,Main Deck,Move,Ongoing,,__none__,[S&M],,,
S&M-025,"S&M-042, S&M-126","{""S&M-042"",""S&M-126""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Charjabug.webp,Charjabug,5,1,"Ongoing: You may discard this from play. If you do, gain +2 Energy. Evolve 6: Put this under your Trainer. Gain Vikavolt from the Evolution Stack.",,,Evolution Stack,Pokemon,Ongoing|Evolve,Evolved,__none__,[S&M],,,
S&M-026,"S&M-064, S&M-067","{""S&M-064"",""S&M-067""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Cherish%20Ball!.webp,Cherish Ball!,,,"Encounter Attack: If the top card of the Mythical Pokemon Stack is face-down, flip it face-up.","This can't be bought or gained. At the end of the turn, destroy this.",yellow,Main Deck,Encounter,Encounter Attack,,Poke Ball,[S&M],,,
S&M-027,S&M-081,"{""S&M-081""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Comfey.webp,Comfey,4,1,"+1 Energy and choose one of the following:
 • Choose another player. You and that player both draw a card.
 • Destroy up to two Poison in your hand and/or discard pile.",,,Main Deck,Pokemon,,,__none__,[S&M],,,
S&M-028,"S&M-029, S&M-059, S&M-102","{""S&M-029"",""S&M-059"",""S&M-102""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Cosmoem.webp,Cosmoem,7,2,Ongoing: Evolve 6: Put this under your Trainer. Gain Lunala or Solgaleo from the Evolution Stack.,,,Evolution Stack,Pokemon,Ongoing|Evolve,Evolved,__none__,[S&M],,,
S&M-029,"S&M-057, S&M-028, S&M-059, S&M-102","{""S&M-057"",""S&M-028"",""S&M-059"",""S&M-102""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Cosmog.webp,Cosmog,5,1,"+1 Energy
You may play this from your discard pile. If you do, put this on the bottom of your deck at the end of your turn.
Evolve 5: Put this under your Trainer. Gain Cosmoem from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,Legendary,__none__,[S&M],,,
S&M-030,S&M-009,"{""S&M-009""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Cubone.webp,Cubone,4,1,"+1 Energy and choose an opponent.
Attack: That opponent discards a card.
Evolve 6: Put this under your Trainer. Gain Alolan Marowak from the Evolution Stack.",,,Main Deck,Pokemon,Attack|Evolve,,__none__,[S&M],,,
S&M-031,"S&M-096, S&M-032","{""S&M-096"",""S&M-032""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Dartrix.webp,Dartrix,5,1,"Draw two cards.
Evolve 6: Put this under your Trainer. Gain Decidueye from the Evolution Stack.",,,Evolution Stack,Pokemon,Evolve,Evolved,__none__,[S&M],,,
S&M-032,"S&M-096, S&M-031","{""S&M-096"",""S&M-031""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Decidueye.webp,Decidueye,7,2,"Draw two cards.
Z-Move: +1 Energy and draw a card.",,,Evolution Stack,Pokemon,Z-Move,Evolved,__none__,[S&M],,,
S&M-033,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Dhelmise.webp,Dhelmise,5,1,"+2 Energy and choose an opponent.
That opponent reveals their hand, then discards a Defense card.",,,Main Deck,Pokemon,,,__none__,[S&M],,,
S&M-034,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Drampa.webp,Drampa,6,2,"If you were Attacked between the end of your last turn and the start of this turn, gain +5 Energy. Otherwise, gain +3 Energy.",,,Main Deck,Pokemon,,,__none__,[S&M],,,
S&M-035,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Energy%20Removal.webp,Energy Removal,0,0,,,,Setup,Starter,,,__none__,[S&M],,,
S&M-036,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Eviolite.webp,Eviolite,2,1,"If you play or have played an Evolve card this turn, gain +3 Energy.",,,Main Deck,Item,,,__none__,[S&M],,,
S&M-037,S&M-004,"{""S&M-004""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Exeggcute.webp,Exeggcute,4,1,"+1 Energy
If this is in your discard pile, you may discard a card. If you do, put this into your hand.
Evolve 6: Put this under your Trainer. Gain Alolan Exeggcute from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-038,S&M-060,"{""S&M-060""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Fomantis.webp,Fomantis,2,1,"+1 Energy
Evolve 5: Put this under your Trainer. Gain Lurantis from the Evolution Stack.","When you gain this, shuffle this into your deck.",blue,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-039,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Friend%20Ball.webp,Friend Ball,3,1,"Gain a Pokemon from the Route with cost 5 or less. If you do, put it on top of your deck.",,,Main Deck,Item,,,__none__,[S&M],,,
S&M-040,"S&M-125, S&M-101","{""S&M-125"",""S&M-101""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Gladion.webp,Gladion,,,You start the game with Type: Null in your deck.,,,Setup,Trainer,,,__none__,[S&M],,,7
S&M-041,"S&M-127, S&M-081","{""S&M-127"",""S&M-081""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Golisopod.webp,Golisopod,6,2,"If this is the frst card you have played this turn, gain +3 Energy, choose an opponent, and Attack: That opponent gains a Poison. Otherwise, gain +2 Energy.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[S&M],,,
S&M-042,"S&M-025, S&M-126","{""S&M-025"",""S&M-126""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Grubbin.webp,Grubbin,3,1,"+1 Energy
At the end of your turn, you may put this on the bottom of your deck.
Evolve 4: Put this under your Trainer. Gain Charjabug from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-043,S&M-081,"{""S&M-081""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Guzma.webp,Guzma!,,,"Encounter Attack: Each player discards a card.
Encounter Attack: Each player gains a Poison.","This can't be bought or gained. At the end of the turn, destroy this.",yellow,Main Deck,Encounter,Encounter Attack,,Team Skull,[S&M],,,
S&M-044,"S&M-050, S&M-053","{""S&M-050"",""S&M-053""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Hakamo-o.webp,Hakamo-o,6,2,"+2 Energy
Gain +1 Energy for each Attack card you have played this turn.
Evolve 7: Put this under your Trainer. Gain Kommo-o from the Evolution Stack.",,,Evolution Stack,Pokemon,Evolve,Evolved,__none__,[S&M],,,
S&M-045,S&M-128,"{""S&M-128""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Hala.webp,Hala,6,4,,"When you gain this, put this under your Trainer. Then if you don't have a Z-Ring, gain a Z-Ring and put it in front of your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-046,S&M-128,"{""S&M-128""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Hapu.webp,Hapu,12,7,,"When you gain this, put this under your Trainer. Then if you don't have a Z-Ring, gain a Z-Ring and put it in front of your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-047,"S&M-096, S&M-058, S&M-082","{""S&M-096"",""S&M-058"",""S&M-082""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Hau.webp,Hau,,,"Before starting the game, choose either Rowlet, Litten, or Popplio. You start the game with the chosen card in your deck.",,,Setup,Trainer,,,__none__,[S&M],,,6
S&M-048,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Ilima.webp,Ilima,5,3,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-049,"S&M-058, S&M-121","{""S&M-058"",""S&M-121""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Incineroar.webp,Incineroar,7,2,"+2 Energy
Destroy a card in your hand or discard pile.
Z-Move: +2 Energy",,,Evolution Stack,Pokemon,Z-Move,Evolved,__none__,[S&M],,,
S&M-050,"S&M-044, S&M-053","{""S&M-044"",""S&M-053""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Jangmo-o.webp,Jangmo-o,4,1,"+2 Energy
Evolve 5: Put this under your Trainer. Gain Hakamo-o from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-051,S&M-128,"{""S&M-128""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Kiawe.webp,Kiawe,7,4,,"When you gain this, put this under your Trainer. Then if you don't have a Z-Ring, gain a Z-Ring and put it in front of your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-052,S&M-099,"{""S&M-099""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Komala.webp,Komala,5,1,"+2 Energy
If this enters your discard pile by any card or Trainer effect, draw a card, then put this on the bottom of your deck.",,,Main Deck,Pokemon,,,__none__,[S&M],,,
S&M-053,"S&M-050, S&M-044","{""S&M-050"",""S&M-044""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Kommo-o.webp,Kommo-o,8,3,"+3 Energy
Each opponent reveals their hand. Gain +1 Energy for each Attack card revealed this way.",,,Evolution Stack,Pokemon,,Evolved,__none__,[S&M],,,
S&M-054,S&M-128,"{""S&M-128""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Lana.webp,Lana,7,4,,"When you gain this, put this under your Trainer. Then if you don't have a Z-Ring, gain a Z-Ring and put it in front of your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-055,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Lapras%20Paddle.webp,Lapras Paddle,3,2,"Draw a card.
Ongoing: Once during each of your turns, you may look at the top card of your deck. If you do, you may discard that card.",,,Main Deck,Move,Ongoing,,__none__,[S&M],,,
S&M-056,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Leftovers.webp,Leftovers,5,1,"+2 Energy
If you play or have played a Pokemon this turn, draw an additional card at the end of your turn.",,,Main Deck,Item,,,__none__,[S&M],,,
S&M-057,S&M-029,"{""S&M-029""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Lillie.webp,Lillie,,,You start the game with Cosmog in your deck.,,,Setup,Trainer,,,__none__,[S&M],,,6
S&M-058,"S&M-106, S&M-070, S&M-047, S&M-121, S&M-049","{""S&M-106"",""S&M-070"",""S&M-047"",""S&M-121"",""S&M-049""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Litten.webp,Litten,3,1,"You may discard two cards. If you do, gain +1 Energy.
Evolve 4: Put this under your Trainer. Gain Torracat from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-059,"S&M-029, S&M-028","{""S&M-029"",""S&M-028""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Lunala.webp,Lunala,8,3,"+4 Energy
Attack: This Attack can't be avoided. Each opponent discards a random card.
At the start of your turn, you may shuffle this from your discard pile into your deck.",,,Evolution Stack,Pokemon,Attack,Legendary|Evolved,__none__,[S&M],,,
S&M-060,"S&M-038, S&M-081","{""S&M-038"",""S&M-081""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Lurantis.webp,Lurantis,5,1,"+2 Energy
You may destroy a Poison in your hand or discard pile. If you do, draw a card.",,,Evolution Stack,Pokemon,,Evolved,__none__,[S&M],,,
S&M-061,S&M-094,"{""S&M-094""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Lycanroc-Midday.webp,Lycanroc,6,2,"+3 Energy
If this is the first card you ahve played this turn, Attack: Each opponent discards a random card.
Z-Move: Each opponent discards all cards in front of their Trainer.",,,Evolution Stack,Pokemon,Attack|Z-Move,Evolved,__none__,[S&M],,,
S&M-062,S&M-094,"{""S&M-094""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Lycanroc-Midnight.webp,Lycanroc,6,2,"+2 Energy
If you were Attacked between the end of your last turn and the start of this turn, gain +2 Energy and Attack: Each opponent discards a random card.
Z-Move: Each opponent discards all cards in front of their Trainer.",,,Evolution Stack,Pokemon,Attack|Z-Move,Evolved,__none__,[S&M],,,
S&M-063,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Machamp%20Shove.webp,Machamp Shove,5,1,"Ongoing: During your turn, you may discard this from play. If you do, destroy a card in your hand.",,,Main Deck,Move,Ongoing,,__none__,[S&M],,,
S&M-064,S&M-026,"{""S&M-026""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Magearna.webp,Magearna,8,3,"Search your deck and discard pile for an Item and put it into your hand, then shuffle your deck.
Defense: You may shuffle this from your hand or discard pile into your deck to avoid an Attack. If you do, you may put an Item from your discard pile into your hand.",,,Mythical Pokemon Stack,Pokemon,Defense,Mythical,__none__,[S&M],,,
S&M-065,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Mallow.webp,Mallow,7,4,,"When you gain this, put this under your Trainer. Then if you don't have a Z-Ring, gain a Z-Ring and put it in front of your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-066,"S&M-122, S&M-081","{""S&M-122"",""S&M-081""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Mareanie.webp,Mareanie,4,1,"Choose an opponent.
Attack: That opponent gains a Poison.
Evolve 5: Put this under your Trainer. Gain Toxapex from the Evolution Stack.",,,Main Deck,Pokemon,Attack|Evolve,,__none__,[S&M],,,
S&M-067,S&M-026,"{""S&M-026""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Marshadow.webp,Marshadow,8,3,"Copy the effects of a card with cost 10 or less in any player's discard pile until the end of your turn. This can't Evolve.
Z-Move: +3 Energy",,,Mythical Pokemon Stack,Pokemon,Z-Move,Mythical,__none__,[S&M],,,
S&M-068,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Mimikyu.webp,Mimikyu,5,1,Choose a Pokemon with cost 7 or less in any other player's discard pile. Copy the effects of that Pokemon until the end of your turn. This can't Evolve.,,,Main Deck,Pokemon,,,__none__,[S&M],,,
S&M-069,S&M-128,"{""S&M-128""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Mina.webp,Mina,11,6,,"When you gain this, put this under your Trainer. Then if you don't have a Z-Ring, gain a Z-Ring and put it in front of your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-070,"S&M-096, S&M-058, S&M-082","{""S&M-096"",""S&M-058"",""S&M-082""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Moon.webp,Moon,,,"Before starting the game, choose either Rowlet, Litten, or Popplio. You start the game with the chosen card in your deck.",,,Setup,Trainer,,,__none__,[S&M],,,6
S&M-071,S&M-073,"{""S&M-073""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Mudbray.webp,Mudbray,3,1,"+1 Energy
Evolve 5: Put this under your Trainer. Gain Mudsdale from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-072,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Mudsdale%20Gallop.webp,Mudsdale Gallop,2,1,"Draw a card.
Ongoing: You may avoid all Encounter Attacks.",,,Main Deck,Move,Ongoing,,__none__,[S&M],,,
S&M-073,S&M-071,"{""S&M-071""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Mudsdale.webp,Mudsdale,6,2,"+2 Energy
Until the end of your turn, you may buy or gain one card from the destroyed pile as if it were in the Route.
Defense: You may reveal this to avoid an Attack.",,,Evolution Stack,Pokemon,Defense,Evolved,__none__,[S&M],,,
S&M-074,S&M-128,"{""S&M-128""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Nanu.webp,Nanu,10,6,,"When you gain this, put this under your Trainer. Then if you don't have a Z-Ring, gain a Z-Ring and put it in front of your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-075,S&M-128,"{""S&M-128""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Olivia.webp,Olivia,8,5,,"When you gain this, put this under your Trainer. Then if you don't have a Z-Ring, gain a Z-Ring and put it in front of your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-076,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Oranguru.webp,Oranguru,6,2,"+2 Energy and choose another player.
You and that player do the following: Discard your hand, then put cards from the top of your deck into your hand equal to the number of cards you discarded this way.",,,Main Deck,Pokemon,,,__none__,[S&M],,,
S&M-077,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Oricorio.webp,Oricorio,4,1,Reveal the top card of your deck. You may destroy it or put it into your hand.,,,Main Deck,Pokemon,,,__none__,[S&M],,,
S&M-078,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Passimian.webp,Passimian,6,2,"+2 Energy
Attack: You may discard a card. If you do, this Attack can't be avoided. Each opponent discards a random card.",,,Main Deck,Pokemon,Attack,,__none__,[S&M],,,
S&M-079,S&M-014,"{""S&M-014""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Pikachu.webp,Pikachu,4,1,"+1 Energy
Draw a card.
Evolve 6: Put this under your Trainer. Gain Alolan Raichu from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-080,S&M-081,"{""S&M-081""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Plumeria.webp,Plumeria!,,,"Encounter Attack: Each player discards the top five cards of their deck, then gains a Poison.","This can't be bought or gained. At the end of the turn, destroy this.",yellow,Main Deck,Encounter,Encounter Attack,,Team Skull,[S&M],,,
